node,waarde
1,1135,"
"
1,1134,"
"
1,1131,"
"
1,1132,"
"
1,1132,"
"
1,1133,"
"
1,88,"
"
1,93,"
"
1,93,"
"
1,1196,"
"
1,1132,"
"
1,702,"
"
1,1197,"
"
1,1133,"
"
1,1132,"
"
1,1133,"
"
1,690,"
"
1,241,"
"
1,1197,"
"
1,199,"
"
1,434,"
"
1,92,"
"
1,1067,"
"
1,1134,"
"
1,1134,"
"
1,1126,"
"
1,1132,"
"
1,1133,"
"
1,1133,"
"
1,1133,"
"
1,1133,"
"
1,1133,"
"
1,1134,"
"
1,1134,"
"
1,1133,"
"
1,1134,"
"
1,1134,"
"
1,230,"
"
1,1198,"
"
1,1134,"
"
1,1134,"
"
1,1134,"
"
1,1135,"
"
1,1135,"
"
1,1134,"
"
1,1135,"
"
1,1135,"
"
1,1134,"
"
1,707,"
"
1,1198,"
"
1,1135,"
"
1,1135,"
"
1,1135,"
"
1,1135,"
"
1,1135,"
"
1,1135,"
"
1,1135,"
"
1,1135,"
"
1,1136,"
"
1,2044,"
"
1,1141,"
"
1,1136,"
"
1,1135,"
"
1,1135,"
"
1,1136,"
"
1,1136,"
"
1,1135,"
"
1,1136,"
"
1,1136,"
"
1,1136,"
"
1,1135,"
"
1,1136,"
"
1,1135,"
"
1,1138,"
"
1,1135,"
"
1,1138,"
"
1,1134,"
"
1,1134,"
"
1,1135,"
"
1,1138,"
"
1,1138,"
"
1,1135,"
"
1,1135,"
"
1,1136,"
"
1,1136,"
"
1,1135,"
"
1,1138,"
"
1,1135,"
"
1,1136,"
"
1,1134,"
"
1,1134,"
"
1,1135,"
"
1,1136,"
"
1,1136,"
"
1,1135,"
"
1,1136,"
"
1,1135,"
"
1,1136,"
"
1,1135,"
"
1,1134,"
"
1,1135,"
"
1,1135,"
"
1,1135,"
"
1,1138,"
"
1,1136,"
"
1,1138,"
"
1,1136,"
"
1,1134,"
"
1,1136,"
"
1,1136,"
"
1,1138,"
"
1,1135,"
"
1,1135,"
"
1,1134,"
"
1,1138,"
"
1,1136,"
"
1,1136,"
"
1,1133,"
"
1,1136,"
"
1,1133,"
"
1,1136,"
"
1,1138,"
"
1,1138,"
"
1,1138,"
"
1,1135,"
"
1,1136,"
"
1,1133,"
"
1,1133,"
"
1,1138,"
"
1,1134,"
"
1,1134,"
"
1,1138,"
"
1,1135,"
"
1,1136,"
"
1,1134,"
"
1,1136,"
"
1,1136,"
"
1,1138,"
"
1,1133,"
"
1,1134,"
"
1,1133,"
"
1,1134,"
"
1,1135,"
"
1,1138,"
"
1,1138,"
"
1,1135,"
"
1,1133,"
"
1,1134,"
"
1,1133,"
"
1,1138,"
"
1,1133,"
"
1,1135,"
"
1,1133,"
"
1,1136,"
"
1,1134,"
"
1,1133,"
"
1,1135,"
"
1,1136,"
"
1,1136,"
"
1,1138,"
"
1,1136,"
"
1,1134,"
"
1,1133,"
"
1,1134,"
"
1,1135,"
"
1,1135,"
"
1,1133,"
"
1,1136,"
"
1,1135,"
"
1,1133,"
"
1,1138,"
"
1,1136,"
"
1,1134,"
"
1,1136,"
"
1,1136,"
"
1,1138,"
"
1,1134,"
"
1,1133,"
"
1,1134,"
"
1,1136,"
"
1,1133,"
"
1,1136,"
"
1,1138,"
"
1,1133,"
"
1,1136,"
"
1,1135,"
"
1,1133,"
"
1,1133,"
"
1,1134,"
"
1,1136,"
"
1,1133,"
"
1,1133,"
"
1,1136,"
"
1,1135,"
"
1,1138,"
"
1,1138,"
"
1,1135,"
"
1,1136,"
"
1,1134,"
"
1,1135,"
"
1,1133,"
"
1,1133,"
"
1,1133,"
"
1,1136,"
"
1,1136,"
"
1,1133,"
"
1,1133,"
"
1,1135,"
"
1,1136,"
"
1,1135,"
"
1,1138,"
"
1,1138,"
"
1,1135,"
"
1,1138,"
"
1,1133,"
"
